id,name,is_natural,region_id,winery_id,ratings_average,ratings_count,url,acidity,fizziness,intensity,sweetness,tannin,user_structure_count
18157,1694 Classification Red,0,533,2546,4.5,1841,https://joyvino.be/products/rust-vrede-1694,3.0413423,,4.262362,1.5345964,3.1595838,14.0
18323,Altura,0,737,2912,4.5,2733,https://www.vanoudsdezwaan.nl/casa-silva-altura.html,3.0880187,,4.3353205,1.7505343,3.4341447,171.0
18555,Pomerol,0,555,1680,4.2,11645,http://www.vivino.com/wines/1286336,3.405894,,4.2273374,1.6605253,3.5517805,322.0
18717,Cirsion Rioja,0,492,2294,4.6,3474,https://www.wijnig.nl/bodegas-roda-cirsion-2016.html,3.711729,,3.9570887,1.9234011,3.8563433,328.0
18903,Chardonnay,0,853,215683,4.4,1031,https://joyvino.be/products/capensis-chardonnay-2015,3.5614731,,3.984476,2.0542128,,58.0
18931,La Grande Année Brut Champagne,0,409,7747,4.5,24646,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/bollinger/25238-bollinger-la-grande-annee-astucciato.html?codice=MRG309,4.3674808,4.3037186,4.0864882,,,3595.0
19247,Big'd Big Barolo,0,504,2211,4.4,1148,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=00RMBI85M,4.5567408,,3.8413372,1.6542184,4.242019,79.0
19250,Vigna Cappella di S. Stefano Perno Barolo,0,504,2211,4.4,2514,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2201530,4.5566106,,3.8076956,1.5660388,4.363103,161.0
19490,Amarone della Valpolicella,0,1804,7770,4.3,4689,https://www.seulementproduitsitaliens.be/vino/casa-vinicola-bennati/9725-amarone-della-valpolicella-casa-vinicola-bennati.html?codice=VIP041-2019,2.3465822,,4.7688437,3.1827621,2.2820804,149.0
20985,Giramonte Toscana,0,394,183112,4.4,1678,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2001927,3.096134,,3.428726,2.2484422,2.872114,117.0
21929,Costasera Amarone della Valpolicella Classico,0,3237,60883,4.3,93397,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20MAAMCO16M,2.2137997,,4.795965,3.2297275,2.241271,2036.0
21938,Campolongo di Torbe Amarone della Valpolicella Classico,0,3237,60883,4.5,4392,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20MACT12B,2.2195082,,4.726553,3.2979991,2.3750587,130.0
22174,Brunello di Montalcino Riserva Vigna Paganelli,0,1796,7927,4.3,7123,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10IPBMR16B,3.8713474,,3.3939166,1.6121194,3.743623,326.0
22447,Bolgheri Superiore,0,3345,7941,4.6,47939,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10TOOR90B,3.4603708,,3.877706,1.788846,3.8922803,1144.0
22448,Le Serre Nuove,0,673,7941,4.3,50411,https://www.wijnig.nl/ornellaia-le-serre-nuove-2020.html,3.4638002,,3.897753,1.6401124,3.8654778,1237.0
22529,Barolo Ginestra Casa Maté,0,504,1845,4.4,4116,https://www.colaris.com/catalog/product/view/id/47654,4.50987,,3.887211,1.7545748,4.269364,297.0
22554,Il Bricco Barbaresco,0,722,1476,4.3,2299,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202611,4.6537747,,3.7309024,1.5898534,4.0229735,67.0
22555,Ornato Barolo,0,504,1476,4.4,5469,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=00PCBO06B,4.6555104,,3.8188539,1.5658007,4.3928475,248.0
22685,Saint-Julien (Grand Cru Classé),0,399,177327,4.3,37174,https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/medoc/saint-julien/chateau-leoville-barton/wn1011444/wn1011444,4.220461,,3.8102663,1.6682789,3.916385,1209.0
22721,Flaccianello della Pieve,0,2915,7957,4.5,21518,https://www.grandcruwijnen.nl/2019-fontodi-flaccianello-della-pieve,3.19551,,3.4869254,1.7224033,3.1631904,1782.0
23094,25 anni Montefalco Sagrantino,0,1802,1676,4.3,5419,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2203536,3.1158633,,3.6544137,1.5398124,3.512506,258.0
23130,Cuvée Annamaria Clementi (Extra Brut),0,817,7985,4.5,7928,https://www.vanoudsdezwaan.nl/ca-del-bosco-franciacorta-docg-annamaria-139671457.html,3.8442688,3.318085,2.9408581,,,13.0
